"day","elec"
1,1497
2,1463
3,1648
4,1595
5,1777
6,1824
7,1994
8,1835
9,1787
10,1699
11,1633
12,1645
13,1597
14,1577
15,1709
16,1756
17,1936
18,2052
19,2105
20,2016
21,1914
22,1925
23,1824
24,1765
25,1721
26,1752
27,1914
28,1857
29,2159
30,2195
31,2287
32,2276
33,2096
34,2055
35,2004
36,1924
37,1851
38,1839
39,2019
40,1937
41,2270
42,2251
43,2382
44,2364
45,2129
46,2110
47,2072
48,1980
49,1995
50,1932
51,2171
52,2162
53,2489
54,2424
55,2641
56,2630
57,2324
58,2412
59,2284
60,2186
61,2184
62,2144
63,2379
64,2383
65,2717
66,2774
67,3051
68,2891
69,2613
70,2600
71,2493
72,2410
73,2390
74,2463
75,2616
76,2734
77,2970
78,3125
79,3342
80,3207
81,2964
82,2919
83,2764
84,2732
85,2622
86,2698
87,2950
88,2895
89,3200
90,3408
91,3679
92,3473
93,3154
94,3107
95,3052
96,2918
97,2786
98,2739
99,3125
100,3033
101,3486
102,3661
103,3927
104,3851
105,3456
106,3390
107,3280
108,3166
109,3080
110,3069
111,3340
112,3310
113,3798
114,3883
115,4191
116,4213
117,3766
118,3628
119,3520
120,3322
121,3250
122,3287
123,3552
124,3440
125,4153
126,4265
127,4655
128,4492
129,4051
130,3967
131,3807
132,3639
133,3647
134,3560
135,3929
136,3858
137,4485
138,4697
139,4977
140,4675
141,4596
142,4491
143,4127
144,4144
145,4014
146,3994
147,4320
148,4400
149,5002
150,5091
151,5471
152,5193
153,4997
154,4737
155,4546
156,4498
157,4350
158,4206
159,4743
160,4582
161,5191
162,5457
163,5891
164,5618
165,5158
166,5030
167,4800
168,4654
169,4453
170,4440
171,4945
172,4788
173,5425
174,5706
175,6061
176,5846
177,5242
178,5408
179,5114
180,5042
181,5008
182,4657
183,5359
184,5193
185,5891
186,5980
187,6390
188,6366
189,5756
190,5640
191,5429
192,5398
193,5413
194,5141
195,5695
196,5554
197,6369
198,6592
199,7107
200,6917
201,6353
202,6205
203,5830
204,5646
205,5379
206,5489
207,5824
208,5907
209,6482
210,6795
211,7028
212,6776
213,6274
214,6362
215,5940
216,5958
217,5769
218,5887
219,6367
220,6165
221,6868
222,7201
223,7601
224,7581
225,7090
226,6841
227,6408
228,6435
229,6176
230,6138
231,6717
232,6470
233,7312
234,7763
235,8171
236,7788
237,7311
238,6679
239,6704
240,6724
241,6552
242,6427
243,7105
244,6869
245,7683
246,8082
247,8555
248,8386
249,7553
250,7398
251,7112
252,6886
253,7077
254,6820
255,7426
256,7143
257,8261
258,8240
259,8977
260,8991
261,8026
262,7911
263,7510
264,7381
265,7366
266,7414
267,7824
268,7524
269,8279
270,8707
271,9486
272,8973
273,8231
274,8206
275,7927
276,7999
277,7834
278,7521
279,8284
280,7999
281,8940
282,9381
283,10078
284,9796
285,8471
286,8572
287,8150
288,8168
289,8166
290,7903
291,8606
292,8071
293,9178
294,9873
295,10476
296,9296
297,8818
298,8697
299,8381
300,8293
301,7942
302,8001
303,8744
304,8397
305,9115
306,9773
307,10358
308,9849
309,9083
310,9143
311,8800
312,8741
313,8492
314,8795
315,9354
316,8796
317,10072
318,10174
319,11326
320,10744
321,9806
322,9740
323,9373
324,9244
325,9407
326,8827
327,9880
328,9364
329,10580
330,10899
331,11687
332,11280
333,10208
334,10212
335,9725
336,9721
337,9846
338,9407
339,10265
340,9970
341,10801
342,11246
343,12167
344,11578
345,10645
346,10613
347,10104
348,10348
349,10263
350,9973
351,10803
352,10409
353,11458
354,11845
355,12559
356,12070
357,11221
358,11338
359,10761
360,11012
361,10923
362,10790
363,11427
364,10788
365,11772
366,12104
367,12634
368,12772
369,11764
370,11956
371,11646
372,11750
373,11485
374,11198
375,12265
376,11704
377,12419
378,13259
379,13945
380,13839
381,12387
382,12546
383,12038
384,11977
385,12336
386,11793
387,12877
388,11923
389,13306
390,13988
391,14002
392,14338
393,12867
394,12761
395,12449
396,12658
